,movietitle,harmful,certificate,distributorstürk,keywordscontentspoint,CompanyNamesAverage,directorpoint,CastPuan,producerpoint,distributorspoint,GenreesPoint,Label,Harmful Number,CertificateEncoded,Label Yeni
0,Leyla ile Mecnun,[],Turkey:G,"['Netflix            (2016) (Turkey) (video)', 'TRT 1            (2011) (Turkey) (all media)', 'Turkish Radio & Television (TRT)            (2011) (Turkey) (all media)']",4.80091988084982,3.3931301757901733,5.7132511204136085,2.6447447777955744,3.2516283341690664,4.998511719870431,5.524993205334977,5,0,6,3
1,Seksenler,['Sex&Nudity'],Turkey:G,"['TRT 1            (2012) (Turkey) (TV)', 'Turkish Radio & Television (TRT)            (2012) (Turkey) (TV)']",0.0,0.9034096758593329,2.154806358137284,1.5605246340471917,0.9284282352304141,3.900936527639879,3.177374124637893,5,1,6,3
2,Dirilis: Ertugrul,"['Violence&Gore', 'Profanity', 'Alcohol,Drugs&Smoking', 'Frightening&IntenseScenes']",Turkey:7+,"['Puhu TV            (2017) (Turkey) (all media)', 'TRT 1            (2014) (Turkey) (TV)', 'Turkish Radio & Television (TRT)            (2014-2019) (Turkey) (TV)']",3.696271197423684,1.3062786775954642,2.678829504258436,1.8451565080077887,0.8428343214624598,5.7575566898601975,4.807631572908933,5,4,4,3
3,Avrupa Yakasi,[],Turkey:G,['ATV            (2004) (Turkey) (TV)'],1.809911848766592,0.9022523350916029,2.6165581019660085,2.6690936874072264,1.2471459458416012,4.5762750674517205,4.597631851592044,5,0,6,3
4,1 Kadin 1 Erkek,[],Turkey:18+,[],4.193375273595012,0.6892998524152383,0.0,0.3213940346795674,2.141643483816136,0.0,4.597631851592044,5,0,3,3
5,Muhtesem Yüzyil,"['Sex&Nudity', 'Violence&Gore', 'Profanity', 'Alcohol,Drugs&Smoking', 'Frightening&IntenseScenes']",Turkey:7+,['TIMS Productions            (2006) (Turkey) (all media)'],3.8408331336427417,2.2827489970048656,3.6792802683055497,2.736767853545047,1.9656710423982977,4.7114373247218095,5.025608047325561,5,5,4,3
6,Fatmagül'ün Suçu Ne?,"['Sex&Nudity', 'Violence&Gore', 'Profanity', 'Alcohol,Drugs&Smoking', 'Frightening&IntenseScenes']",Turkey:7+,['Kanal D            (2010-2012) (Turkey) (TV)'],4.208354490772464,6.977506638331717,3.6822864795695014,1.8036197709470296,4.456562054813598,5.194442240171808,5.9886738822064425,5,5,4,3
7,1 Erkek 1 Kadin,[],Turkey:13+,[],-0.3620362782951042,0.6191057055874338,0.0,0.12196204376986453,2.095563832340539,-0.745048968826407,4.597631851592044,5,0,1,3
8,Çukur,['Violence&Gore'],Turkey:7+,"['Puhu TV            (2017-) (Turkey) (all media)', 'Show TV            (2017-) (Turkey) (TV)']",4.474519624020205,6.977506638331717,0.0,2.151179540628988,4.1144448888511835,4.188077574295994,3.3036876827809762,5,1,4,3
9,Kurtlar Vadisi,[],0,"['Show TV            (2003-2004) (Turkey) (TV)', 'Kanal D            (2005) (Turkey) (TV)']",2.4209085204494283,1.888214329101594,4.928615345010167,1.8833035053431006,1.655883372566762,6.154352532780753,4.9409421844230845,5,0,0,3
10,Öyle Bir Geçer Zaman ki,[],Turkey:7+,['Kanal D            (2010) (Turkey) (TV)'],-0.34137720205780075,1.8124677464173249,2.2749144766736134,2.0907467471742343,2.37706963618393,5.194442240171808,5.1589186588397125,5,0,4,3
11,Yaprak Dökümü,[],Turkey:7+,['Kanal D            (2006-) (Turkey) (TV)'],0.17825374948204864,6.977506638331717,1.5295140853988536,1.9610715905917,3.214445672577761,5.543725024021136,4.818508418263642,5,0,4,3
12,Tatli Hayat,[],Turkey:G,['Show TV            (2001-2004) (Turkey) (TV)'],0.0,1.8650929756320287,2.2448274261373378,2.144484657712579,0.0,2.957324663181406,3.177374124637893,5,0,6,3
13,The Protector,"['Sex&Nudity', 'Alcohol,Drugs&Smoking']",Turkey:15+,['Netflix            (2018-) (Turkey) (video) (VOD)'],4.32698740952849,2.0143327428841307,2.1500430508146096,2.2106255779405117,2.9955642119031114,3.0365854836016424,2.58351750970319,5,2,2,3
